Date,Title,Image
2022-12-14,पुस्तक अध्ययन गोष्ठीबारे सूचना !  ,/uploads/notice/Notice_20221214_1670998148_01.jpg
2022-11-16,प्रतिनिधिसभा र प्रदेशसभा सदस्य निर्वाचनको बिदा बारे सूचना !,/uploads/notice/Notice_20221116_1668594090_01.jpg
2022-11-14,मंसिर १ गतेदेखि ६ गतेसम्म पठनपाठन नहुने बारे सूचना !,/uploads/notice/Notice_20221114_1668422667_01.jpg
2022-11-14,कलेज समय परिवर्तन बारे सूचना !,/uploads/notice/Notice_20221114_1668422886_01.jpg
2022-11-08,बुक बैंकका पुस्तक बितरण सम्बन्धी सूचना !,/uploads/notice/Notice_20221108_1667902655_01.jpg
2022-11-06,बस सुबिधा नबिकरण गर्ने बारे सुचना !,/uploads/notice/Notice_20221106_1667730641_01.jpg
2022-10-21,दोस्रो सेमेष्टरको शुल्क बुझाउने सम्बन्धी जरुरी सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20221021_1666336031_01.jpg
2022-10-21,भाद्र र असोजको मासिक  शुल्क बारे सूचना !,/uploads/notice/Notice_20221021_1666337001_01.jpg
2022-09-28,दशै  / तिहार बिदा बारे सूचना !,/uploads/notice/Notice_20220928_1664359850_01.jpg
2022-09-28,छात्रबृती रकम लिन आउने बारे सूचना !,/uploads/notice/Notice_20220928_1664345374_01.jpg
2022-09-25,घटस्थापनाको  दिन कलेज बिदा हुने बारे सूचना !,/uploads/notice/Notice_20220925_1664089549_01.jpg
2022-09-23,सेमेष्टर टपर छात्रबृति लिन आउने बारे सूचना !,/uploads/notice/Notice_20220923_1663913237_01.jpg
2022-09-18,संविधान दिवसको दिन कलेज सन्चालन हुने बारे सूचना !,/uploads/notice/Notice_20220918_1663499452_01.jpg
2022-09-06,Semester Topper विद्यार्थीको छात्रवृत्ति बारे,
2022-09-06,Full Scholarship प्रदान गरिएको बारे सूचना !,
2022-09-05,पुनः परीक्षाकाे Online परीक्षा फाराम भर्ने बारे सूचना,/uploads/notice/Notice_20220905_1662358543_01.jpg
2022-08-31,परीक्षा केन्द्रमा कलेज बसले पुर्‍याउने बारे सूचना !,/uploads/notice/Notice_20220831_1661940954_01.jpg
2022-08-29,परीक्षा केन्द्रमा कलेज बसले पुर्‍याउने  बारे  सूचना !,/uploads/notice/Notice_20220829_1661759321_01.jpg
2022-08-22,गरिब तथा जेहेन्दार विद्यार्थी छात्रवृत्तिकाे अन्तवार्ता  सम्बन्धि सूचना ।,
2022-08-09,साउन २६ र २७ गते कलेज बिदा हुने बारे सूचना ।,/uploads/notice/Notice_20220809_1660041724_01.jpg
2022-08-05,Submit Course Feedback Form (Compulsory),/uploads/notice/Notice_20220805_1659683374_01.jpg
2022-08-02,विद्यार्थी धरौटी र बुक बैंक रकम लिन आउनेबारे सूचना !,/uploads/notice/Notice_20220802_1659436736_01.jpg
2022-07-21,विलम्ब शुल्क बारे सूचना !,/uploads/notice/Notice_20220721_1658389911_01.jpg
2022-07-20,गरिब तथा जेहेन्दार विद्यार्थी छात्रबृती सम्बन्धि सूचना ।,/uploads/files/notice/Scholarship%20notice%202022.jpg
2022-07-13,लेखा शाखाको बिलिङ्ग कार्य बन्द हुने सम्बन्धि जरुरी सूचना !,/uploads/notice/Notice_20220713_1657688323_01.jpg
2022-07-06,नेपाल इन्जिनियरिङ्ग परिषदमा भर्ना शुल्क बुझाउने सम्बन्धि जरूरी सूचना !,/uploads/notice/Notice_20220706_1657092765_01.jpg
2022-07-03,हाजिरीजवाफ प्रतियोगिता हुनेबारे सूचना ! ,/uploads/notice/Notice_20220703_1656843527_01.jpg
2022-07-03,खेलकूद प्रतियोगिता हुने बारे सूचना !,/uploads/notice/Notice_20220703_1656843253_01.jpg
2022-06-17,"दोश्रो, तेश्रो र चौथो बर्षमा भर्ना हुने सम्बन्धी सूचना !",/uploads/notice/Notice_20220617_1655454357_01.jpg
2022-06-17,विद्यार्थी धरौटी रकम आम्दानी जनाइएको बारे सूचना ! ,/uploads/files/gallery/Notice(1).jpg
2022-06-14,विद्यार्थी धरौटी र बुक बैंक रकम फिर्ता लिने बारे सूचना !,/uploads/notice/Notice_20220614_1655205669_01.jpg
2022-06-03,Transportation Mode Survey Form भर्नेबारे सूचना !,/uploads/notice/Notice_20220603_1654245508_01.jpg
2022-05-27,वक्तृत्त्वकला र कविता प्रतियोगिता हुने बारे सूचना !,/uploads/notice/Notice_20220527_1653647525_01.jpg
2022-05-27,बिद्यार्थी धरौटी रकम फिर्ता लिन आउने बारे गोरखापत्र र मजदुर दैनिकमा प्रकाशित सूचना । ,/uploads/notice/Notice_20220527_1653629745_01.jpg
2022-05-26,नयाँ विद्यार्थीहरूकाे लागि स्वागत तथा अभिमूखिकरण कार्यक्रम हुनेबारे सूचना !,/uploads/notice/Notice_20220526_1653551084_01.jpg
2022-05-22,गरिब तथा जेहेन्दार र प्रवेश परीक्षामा उत्कृष्ट छात्रवृत्ति लिन अाउने सम्बन्धी सूचना !,
2022-05-22,त्रि‍‍.वि. रजिष्ट्रेशन फारम भर्ने बारे सूचना,/uploads/notice/Notice_20220522_1653214228_01.jpg
2022-05-20,पुनः परीक्षा(Batch Out)काे Online परीक्षा फाराम भर्ने बारे सूचना,/uploads/notice/Notice_20220520_1653032698_01.jpg
2022-05-15,बुद्ध जयन्तीको दिन कलेज बिदा हुने बारे सूचना ।,/uploads/notice/Notice_20220515_1652598417_01.jpg
2022-05-10,स्थानीय तह सदस्य निर्वाचनको बिदा बारे सूचना !,/uploads/notice/Notice.jpg
2022-05-10,बस सुबिधा बारे सूचना !,
2022-05-03,बुक बैंकका पुस्तक वितरण सम्बन्धी सूचना !,/uploads/notice/Notice_20220503_1651571750_01.jpg
2022-04-29,कक्षा सन्चालन बारे सुचना !,http://khwopa.edu.np/uploads/notice/Notice_20220422_1650622811_01.jpg
2022-04-29,summer vacation !,https://khwopa.edu.np/uploads/notice/Notice_20220429_1651225913_01.jpg
2022-04-29,बैशाख १८ गते नियमित कक्षा नहुने र कार्यक्रम हुनेबारे सूचना ।,https://khwopa.edu.np/uploads/notice/Notice_20220429_1651225470_01.jpg
2022-04-22,"दोस्रो, तेस्रो र चौंथो वर्षमा भर्ना हुने सम्बन्धी सूचना !",https://khwopa.edu.np/uploads/notice/Notice_20220422_1650610062_01.jpg
2022-04-21,Semester Topper विद्यार्थीहरुलाई Scholarship को रकम लिन आउने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20220421_1650524829_01.jpg
2022-04-12,बिस्का जात्रा र नव वर्षको बिदा बारे सूचना । ,https://khwopa.edu.np/uploads/notice/Notice_20220412_1649756581_01.jpg
2022-04-10,कक्षा सन्चालन बारे सुचना !,https://khwopa.edu.np/uploads/notice/Notice_20220410_1649570415_01.jpg
2022-04-10,कलेज बस सन्चालन सम्बन्धी सूचना !,
2022-03-23,पुनः परीक्षाकाे Online परीक्षा फाराम भर्ने बारे संशाेधित सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220323_1648032311_01.jpg
2022-03-20,परीक्षा केन्द्रमा कलेज बसले पु¥याउने बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220320_1647771352_01.JPG
2022-03-16,फागु पूर्णिमा (होली) को दिन कलेज बिदा हुने बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220316_1647431424_01.JPG
2022-03-16,Semester Topper विद्यार्थीको छात्रवृत्ति बारे,
2022-03-15,गरिब तथा जेहेन्दार विद्यार्थी छात्रवृत्ति प्रदान गरिएको बारे सूचना,
2022-03-14,Submit Course Feedback Form (Compulsory),https://khwopa.edu.np/uploads/notice/Notice_20210902_1630561356_01.jpg
2022-03-13,प्राथमिकता संशोधन गर्ने सम्बन्धी सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220313_1647170345_01.JPG
2022-03-13,फागुन २४ गते नियमित कक्षा नहुने र कार्यक्रम हुनेबारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220306_1646559614_01.JPG
2022-03-13,Semester Topper विद्यार्थीको छात्रवृत्ति बारे,
2022-03-06,विद्यार्थी धरोटी रकम र बुक बैंक रकम फिर्ता लिन आउने सम्बन्धी सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220306_1646547887_01.JPG
2022-03-06,Submit Course Feedback Form (Compulsory),https://khwopa.edu.np/uploads/notice/Notice_20210902_1630561356_01.jpg
2022-03-06,Submit Course Feedback (Compulsory),
2022-03-06,फागुन २४ गते नियमित कक्षा नहुने र कार्यक्रम हुनेबारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220306_1646559614_01.JPG
2022-02-10,नियमित परीक्षाकाे Online परीक्षा फाराम भर्ने बारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220210_1644475160_01.jpg
2022-02-10,कलेज समय परिवर्तन बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220210_1644477925_01.JPG
2022-02-08,साविक बमोजिम कक्षा संचालन हुनेबारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220208_1644306140_01.JPG
2022-01-30,विद्यार्थी धरौटी र बुक बैंक रकम फिर्ता लिने बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220130_1643524061_01.JPG
2022-01-19,बढुवाको लागि योग्य शिक्षक र कर्मचारीहरुले निवेदन पेश गर्नेबारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20220119_1642577264_01.JPG
2022-01-16,Online Class सन्चालन हुने सम्बन्धी सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20220116_1642326567_01.jpg
2022-01-13,To submit Covid status form,
2022-01-10,हिउँदे बिदा (Winter Vacation) बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20220110_1641809168_01.jpg
2022-01-10,खेलकूद प्रतियोगिता स्थगित गरिएको बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20220110_1641809406_01.jpg
2022-01-04,रचनात्मक गतिबिधिहरु उपलब्ध गराउने बारे सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20220104_1641276741_01.jpg
2022-01-04,किताब बुझाउने सम्बन्धी अत्यन्त जरुरी सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20220104_1641289196_01.jpg
2022-01-04,खेलकूद प्रतियोगिता हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20220104_1641288810_01.jpg
2021-12-17,Semester Topper विद्यार्थीहरुलाई Scholarship को रकम लिन आउने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211217_1639728240_01.jpg
2021-12-17,Model तथा Poster प्रतियोगिता हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211217_1639728529_01.jpg
2021-12-13,पुनः परीक्षाकाे Online परीक्षा फाराम भर्ने बारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20211213_1639391266_01.jpg
2021-12-09,गरिब तथा जेहेन्दार बिद्यार्थी छात्रबृतीको अन्तर्वार्ता सम्बन्धी सूचना !,
2021-12-08,Semester Topper विद्यार्थीहरुलाई Scholarship प्रदान गरिएको बारे सूचना !,
2021-11-30,कलेज वार्षिकोत्सव कार्यक्रम बारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20211130_1638273762_01.JPG
2021-11-29,रक्त्तदान (Blood Donation ) कार्यक्रम बारे सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20211129_1638183719_01.jpg
2021-11-29,Farewell for 2073 batch,https://khwopa.edu.np/uploads/notice/Notice_20211121_1637491295_01.JPG
2021-11-28,"कविता , वक्तृत्त्वकला र हाजिरीजवाफ प्रतियोगिताको नतिजा प्रकाशनबारे सूचना !",
2021-11-25,सफाइकर्मी पदको नतिजाबारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20211125_1637824329_01.JPG
2021-11-21,Farewell for 2073 batch,https://khwopa.edu.np/uploads/notice/Notice_20211121_1637491295_01.JPG
2021-11-21,साँस्कृतिक कार्यक्रमकाे लागि नाम दर्ता गर्ने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211119_1637308291_01.jpg
2021-11-21,बस सुबिधा लिने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211121_1637473579_01.jpg
2021-11-21,कलेज वार्षिकोत्सव कार्यक्रम हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211119_1637309075_01.jpg
2021-11-19,कलेज वार्षिकोत्सव कार्यक्रम हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211119_1637309075_01.jpg
2021-11-19,चित्रकला (Painting) प्रतियोगिता हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211119_1637307268_01.jpg
2021-11-19,"दोस्रो, तेस्रो र चौथो बर्षको कक्षा सन्चालन हुने बारे सूचना !",https://khwopa.edu.np/uploads/notice/Notice_20211119_1637301221_01.jpg
2021-11-19,साँस्कृतिक कार्यक्रमकाे लागि नाम दर्ता गर्ने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211119_1637308291_01.jpg
2021-11-18,बास्केटबल प्रतियोगिता हुने बारे सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20211118_1637219383_01.jpg
2021-11-14,कलेज समय परिवर्तन हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211114_1636885942_01.jpg
2021-11-14,"कविता , वक्तृत्त्वकला र हाजिरीजवाफ प्रतियोगिता हुनेबारे सूचना !",https://khwopa.edu.np/uploads/notice/Notice_20211114_1636887297_01.jpg
2021-11-03,प्रथम बर्ष दोस्रो खण्डको कक्षा सन्चालन बारे सूचना !,https://khwopa.edu.np/uploads/files/Notice%20for%20student.jpg
2021-11-03,सफाईकर्मी पद्को प्रयोगात्मक परिक्षाको लागि छनौट भएका उम्मेदवारहरुको नामावली तथा परिक्षा सम्बन्धी सूचना ! ,https://khwopa.edu.np/uploads/files/Notice_20211103_1635935467_01_page-0001.jpg
2021-10-27,VACANCY ANNOUNCEMENT !!!,https://khwopa.edu.np/uploads/notice/Notice_20211027_1635330808_01.jpg
2021-10-25,अस्त्राजेनिका खाेप दास्राे मात्रा लगाउने सम्बन्धी सूचना,https://khwopa.edu.np/uploads/notice/Notice_20211025_1635159817_01.jpg
2021-10-25,सफाईकर्मी पदको अन्तर्वार्ता सम्बन्धी सूचना !,https://khwopa.edu.np/uploads/files/Notice_20211025_1635149867_01_page-0001.jpg
2021-10-10,दशैं / तिहारमा बिदा हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20211010_1633845376_01.jpg
2021-10-06,घटस्थापनाको दिन कलेज बिदा हुने बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20211006_1633494616_01.JPG
2021-09-23,Alumni Trace Study Survey Form भर्ने बारे सूचना । ,https://khwopa.edu.np/uploads/files/242373865_542996566924633_8905305294432379697_n(1).jpg
2021-09-10,सेमेष्टर परीक्षाको पहिलो दिन परीक्षा केन्द्रमा पु¥याउने बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20210910_1631275305_01.JPG
2021-09-05,पुनः परीक्षाकाे Online परीक्षा फाराम भर्ने बारे सूचना,https://khwopa.edu.np/uploads/notice/Notice_20210905_1630827607_01.jpg
2021-09-03,Physics बिषयकाे बाह्य प्रयाेगात्मक परीक्षाबारे सूचना ।,https://khwopa.edu.np/uploads/notice/Notice_20210903_1630669378_01.jpg
2021-09-03,Chemistry विषयकाे बाह्य प्रयाेगात्मक परीक्षाबारे सूचना .,https://khwopa.edu.np/uploads/notice/Notice_20210903_1630669436_01.jpg
2021-09-02,Submit Course Feedback,https://khwopa.edu.np/uploads/notice/Notice_20210902_1630561356_01.jpg
2021-08-29,कृष्ण जन्माष्टमीकाे दिन कलेज संचालन हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20210829_1630235306_01.jpg
2021-08-26,Data Collection for Nepali AI Anchor (Research),
2021-08-20,छात्रवृत्ति रकम लिन आउने बारे सूचना !,https://khwopa.edu.np/uploads/files/Notice_20210820_1629443144_01_page-0001.jpg
2021-08-19,जनै पूर्णिमा र सापारु (गाईजात्रा) को दिन कलेज बिदा हुने बारे । सूचना,https://khwopa.edu.np/uploads/notice/Notice_20210819_1629374040_01.JPG
2021-08-15, Fill up the google form for Vaccination Status,
2021-08-15,Entrance Topper विद्यार्थीहरुलाई Scholarship प्रदान गरिएको बारे सूचना !,https://khwopa.edu.np/uploads/files/Notice_20210815_1629022544_01-1.jpg
2021-08-15,Semester Topper विद्यार्थीहरुलाई Scholarship प्रदान गरिएको बारे सूचना !,https://khwopa.edu.np/uploads/files/1%20(1).jpg
2021-08-11,गरिब तथा जेहेन्दार विद्यार्थी छात्रवृत्ति बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20210811_1628668425_01.jpg
2021-08-06,शुल्क बुझाउने तरिका सम्बन्धी सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20210806_1628233992_01.jpg
2021-08-02,नियमित तथा पुनः परीक्षाकाे Online परीक्षा फाराम भर्ने बारे सूचना ।,https://khwopa.edu.np/uploads/files/Notice_20210802_1627893361_01.jpg
2021-08-01,त्रि‍‍‍ वि‍ नाम दर्ता (T.U. Registration) फाराम भर्ने बारे जरुरी सूचना ।,
2021-06-29,भर्ना हुने समयको म्याद थप गरिएको बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20210629_1624954542_01.jpg
2021-06-20,छात्रवृत्ति रकम लिन आउने बारे सूचना !,https://khwopa.edu.np/uploads/files/Notice_20210620_1624176778_01-1.jpg
2021-06-02,"दोस्रो, तेस्रो र चौंथो वर्षमा भर्ना हुने सम्बन्धी सूचना",https://khwopa.edu.np/uploads/notice/Notice_20210601_1622536495_01.JPG
2021-05-04,अति आवश्यक सेवामात्र संचालन हुनेबारे सूचना ।,https://khwopa.edu.np/uploads/notice/Notice_20210504_1620108653_01.JPG
2021-05-02,गरिब तथा जेहेन्दार विद्यार्थी छात्रवृत्ति प्रदान गरिएको बारे सूचना,https://khwopa.edu.np/uploads/files/Scan1-1.jpg
2021-05-01,विद्यार्थी धरौटी रकम फिर्ता लिन आउनेबारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20210427_1619510071_01.jpg
2021-05-01,कलेजको दैनिक प्रशासन सन्चालन हुनेबारे सुचना !,https://khwopa.edu.np/uploads/notice/Notice_20210428_1619613184_01.jpg
2021-04-24,सर्भे क्याम्प स्थगित गरिएको बारे सूचना !,https://khwopa.edu.np/uploads/files/Notice(1).jpg
2021-04-24,Online Class संचालन हुने सम्बन्धी सूचना,https://khwopa.edu.np/uploads/notice/Notice_20210420_1618921620_01.JPG
2021-04-24,"दोश्रो, तेश्रो र चौथो बर्षमा भर्ना हुने सम्बन्धी सूचना !",https://khwopa.edu.np/uploads/notice/Notice_20210420_1618911140_01.jpg
2021-04-24,चैत्र २२ गतेदेखि कक्षा सन्चालन हुनेबारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20210330_1617087786_01.jpg
2021-04-24,बिस्का जात्रा र नव बर्षमा बिदा हुने बारे सूचना !,https://khwopa.edu.np/uploads/notice/Notice_20210411_1618126987_01.jpg
2021-04-24,दोश्रो बर्ष प्रथम खण्डको कक्षा सन्चालन बारे सूचना ! ,https://khwopa.edu.np/uploads/notice/Notice_20210412_1618216508_01.jpg
